,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1080512,2016-08-13 12:30:00,214,14,1 : 0,2 : 1,7.15272727272727,343,449,2,5,7,5,0,20,8,23,49.7,6.39285714285714,352,453,4,5,9,3,0,14,17,16,50.3,1,0,2,1,1.0
0,1080508,2016-08-13 15:00:00,184,259,0 : 0,0 : 1,6.59,249,353,2,3,5,7,0,14,10,41,47.5,7.32071428571429,297,383,2,9,6,4,0,19,14,13,52.5,0,0,0,1,2.0
0,1080510,2016-08-13 15:00:00,162,175,0 : 0,0 : 1,6.67071428571428,298,414,3,4,7,3,0,28,12,21,62.3,7.03384615384615,143,245,2,3,8,6,0,18,15,34,37.7,0,0,0,1,2.0
0,1080511,2016-08-13 15:00:00,31,30,1 : 0,1 : 1,6.86357142857143,262,361,2,6,4,5,0,25,10,21,42.5,6.77384615384616,384,483,5,4,4,6,0,18,14,42,57.5,1,0,1,1,0.0
0,1080514,2016-08-13 15:00:00,21,96,1 : 0,1 : 1,6.73230769230769,262,349,4,2,6,9,0,17,18,20,45.6,6.74769230769231,330,420,2,1,9,6,0,16,14,23,54.4,1,0,1,1,0.0
0,1080515,2016-08-13 15:00:00,18,27,0 : 1,1 : 1,6.65857142857143,495,583,8,6,10,6,0,13,8,25,64.3,6.83142857142857,224,325,0,1,4,2,0,25,12,12,35.7,0,1,1,1,0.0
0,1080513,2016-08-13 17:30:00,167,16,1 : 0,2 : 1,6.72642857142857,585,681,4,4,8,9,0,5,11,27,76.9,6.455,104,189,2,3,2,6,0,17,14,27,23.1,1,0,2,1,1.0
0,1080507,2016-08-14 13:30:00,183,32,0 : 1,1 : 3,6.33785714285714,412,483,4,3,2,4,0,15,7,26,47.4,7.05428571428571,488,561,2,7,2,2,0,27,10,17,52.6,0,1,1,3,2.0
0,1080506,2016-08-14 16:00:00,13,26,1 : 1,3 : 4,6.67785714285714,386,485,1,5,3,5,0,22,13,25,50.7,7.02714285714286,380,479,6,7,3,4,1,21,17,22,49.3,1,1,3,4,2.0
0,1080509,2016-08-15 20:00:00,15,29,0 : 0,2 : 1,6.90142857142857,480,556,4,6,6,7,0,18,16,29,61.7,6.58214285714286,257,350,2,3,2,1,0,25,16,12,38.3,0,0,2,1,1.0
0,1080528,2016-08-19 20:00:00,32,18,1 : 0,2 : 0,7.13571428571429,340,408,1,5,6,4,0,11,11,29,43.4,6.41285714285714,453,533,3,1,9,0,0,25,8,21,56.6,1,0,2,0,1.0
0,1080529,2016-08-20 12:30:00,96,167,0 : 2,1 : 4,6.35230769230769,263,361,2,3,3,7,0,22,12,28,42.5,7.28,398,493,4,6,2,7,0,20,13,19,57.5,0,2,1,4,2.0
0,1080532,2016-08-20 15:00:00,30,162,0 : 0,1 : 0,7.03857142857143,353,440,6,5,9,11,0,29,19,18,56.9,6.74214285714286,234,325,2,2,6,3,0,28,9,28,43.1,0,0,1,0,1.0
0,1080533,2016-08-20 15:00:00,27,15,0 : 0,1 : 2,6.53642857142857,251,330,2,2,2,0,0,25,20,20,37.6,6.82357142857143,488,560,3,4,6,5,0,17,10,19,62.4,0,0,1,2,2.0
0,1080534,2016-08-20 15:00:00,175,31,1 : 1,1 : 2,6.65857142857143,174,283,2,4,5,7,0,23,16,13,33.6,6.97785714285714,486,580,1,7,5,4,0,16,10,13,66.4,1,1,1,2,2.0
0,1080531,2016-08-20 15:00:00,259,214,0 : 0,0 : 2,6.64571428571429,478,563,7,3,13,8,0,17,7,16,56.6,7.52083333333333,362,460,5,4,3,3,0,27,10,23,43.4,0,0,0,2,2.0
0,1080836,2016-08-20 15:00:00,184,26,2 : 0,2 : 0,7.115,130,210,0,2,1,1,0,13,14,11,19.6,6.48357142857143,765,848,8,5,13,12,0,18,5,22,80.4,2,0,2,0,1.0
0,1080526,2016-08-20 17:30:00,14,13,0 : 0,0 : 0,6.85357142857143,256,362,5,1,2,2,0,23,11,27,39.5,7.09357142857143,450,555,5,4,4,7,0,20,7,36,60.5,0,0,0,0,0.0
0,1080530,2016-08-21 13:30:00,16,21,0 : 2,1 : 2,6.65571428571429,307,401,7,5,6,8,0,16,11,27,46.9,6.93642857142857,372,476,3,3,2,1,0,30,14,28,53.1,0,2,1,2,2.0
0,1080535,2016-08-21 16:00:00,29,183,0 : 0,1 : 0,7.14928571428571,277,355,5,2,9,1,0,16,15,23,46.8,6.45785714285714,320,410,2,5,1,6,0,10,15,22,53.2,0,0,1,0,1.0
0,1080543,2016-08-27 12:30:00,30,26,0 : 1,1 : 1,6.75785714285714,306,419,2,4,5,5,0,22,11,27,49.3,6.54571428571429,325,433,6,3,4,5,0,20,17,28,50.7,0,1,1,1,0.0
0,1080536,2016-08-27 15:00:00,15,184,2 : 0,3 : 0,7.29642857142857,545,626,5,10,7,9,0,9,6,22,60.1,6.39928571428571,314,410,2,0,4,5,0,17,9,15,39.9,2,0,3,0,1.0
