,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,829517,2014-08-16 12:45:00,32,259,0 : 1,1 : 2,6.70714285714286,482,558,4,5,5,4,0,13,14,29,59.6,6.88642857142857,307,383,1,4,0,0,0,19,20,23,40.4,0,1,1,2,-1.0
0,829515,2014-08-16 15:00:00,14,31,1 : 2,2 : 2,6.71428571428571,265,344,3,3,5,3,0,13,16,12,36.7,6.61,509,605,5,3,5,6,0,19,10,17,63.3,1,2,2,2,0.0
0,829519,2014-08-16 15:00:00,171,214,0 : 0,0 : 1,6.715,296,383,6,6,7,8,0,14,10,22,51.0,7.17642857142857,289,382,4,4,3,9,1,17,10,26,49.0,0,0,0,1,-1.0
0,829520,2014-08-16 15:00:00,96,24,0 : 0,0 : 1,6.79923076923077,432,517,6,2,4,2,0,27,14,36,63.1,6.76769230769231,197,289,2,1,4,8,0,19,9,35,36.9,0,0,0,1,-1.0
0,829521,2014-08-16 15:00:00,175,16,1 : 1,2 : 2,6.54857142857143,349,439,0,5,5,6,0,18,18,24,57.8,6.87142857142857,242,323,3,2,2,3,0,29,9,19,42.2,1,1,2,2,0.0
0,829522,2014-08-16 15:00:00,29,30,0 : 0,0 : 1,6.65928571428572,344,414,4,4,10,8,0,17,12,15,46.6,6.92357142857143,386,482,4,4,2,5,0,19,10,16,53.4,0,0,0,1,-1.0
0,829513,2014-08-16 17:30:00,13,162,1 : 1,2 : 1,7.015,640,730,3,6,5,9,0,26,13,21,76.0,6.62857142857143,127,222,2,2,0,3,0,33,19,18,24.0,1,1,2,1,1.0
0,829516,2014-08-17 13:30:00,26,18,1 : 0,2 : 1,7.28076923076923,514,601,2,5,5,2,0,16,8,22,56.1,6.76615384615385,345,450,2,6,4,6,0,35,11,27,43.9,1,0,2,1,1.0
0,829518,2014-08-17 16:00:00,23,167,0 : 1,0 : 2,6.47142857142857,382,460,3,0,9,3,0,23,8,22,44.2,7.20928571428572,511,593,3,5,5,3,0,29,11,14,55.8,0,1,0,2,-1.0
0,829514,2014-08-18 20:00:00,184,15,1 : 3,1 : 3,6.29857142857143,288,413,1,2,6,4,0,12,6,35,38.6,7.13428571428571,551,668,4,3,4,3,0,19,7,29,61.4,1,3,1,3,-1.0
0,829523,2014-08-23 12:45:00,24,23,0 : 0,0 : 0,6.73214285714286,270,348,4,0,6,7,0,17,11,16,40.4,6.67714285714286,445,535,2,4,5,7,0,12,8,24,59.6,0,0,0,0,0.0
0,829524,2014-08-23 15:00:00,15,14,0 : 0,2 : 0,7.60357142857143,464,530,8,10,9,8,0,23,11,23,63.3,6.55785714285714,210,295,2,4,0,7,0,28,11,21,36.7,0,0,2,0,1.0
0,829525,2014-08-23 15:00:00,162,29,0 : 2,1 : 3,6.57285714285714,275,378,2,4,3,6,0,29,14,23,45.9,7.155,355,454,5,8,4,9,0,23,11,24,54.1,0,2,1,3,-1.0
0,829531,2014-08-23 15:00:00,259,184,1 : 0,1 : 0,7.00714285714286,479,558,2,5,3,2,0,16,14,15,55.4,6.48714285714286,353,445,5,1,6,3,0,19,13,27,44.6,1,0,1,0,1.0
0,829529,2014-08-23 15:00:00,18,175,0 : 0,0 : 0,6.85307692307692,412,507,2,2,5,1,0,22,14,32,57.6,6.67142857142857,276,368,2,2,4,5,0,19,15,20,42.4,0,0,0,0,0.0
0,829526,2014-08-23 17:30:00,31,13,2 : 0,2 : 2,6.72571428571429,356,445,2,2,4,3,0,19,10,24,45.8,6.66928571428571,448,527,1,3,9,3,0,15,18,21,54.2,2,0,2,2,0.0
0,829532,2014-08-24 13:30:00,30,171,3 : 0,4 : 0,7.65214285714286,619,686,7,5,6,7,0,24,12,15,65.5,5.995,279,347,1,1,7,6,0,24,6,23,34.5,3,0,4,0,1.0
0,829527,2014-08-24 13:30:00,214,96,1 : 0,1 : 1,6.67,279,378,4,2,3,4,0,19,10,24,42.7,6.85928571428572,420,501,5,3,11,5,0,16,10,20,57.3,1,0,1,1,0.0
0,829530,2014-08-24 16:00:00,16,32,1 : 1,1 : 1,6.71428571428571,363,431,2,3,6,4,0,17,10,18,44.7,6.75928571428572,480,544,3,3,4,4,0,23,15,8,55.3,1,1,1,1,0.0
0,829528,2014-08-25 20:00:00,167,26,1 : 0,3 : 1,6.91285714285714,506,586,1,4,4,6,0,16,13,12,52.9,6.30142857142857,441,508,4,3,4,7,0,17,7,16,47.1,1,0,3,1,1.0
0,829534,2014-08-30 12:45:00,184,32,0 : 0,0 : 0,6.91538461538462,213,313,2,3,4,3,0,19,10,30,36.0,6.90357142857143,451,553,2,2,3,6,0,21,14,21,64.0,0,0,0,0,0.0
